dealer_id,assigned_facility,latitude,longitude,demand
D0738,F01,38.97022,33.92461,43
D0739,F05,41.31467,40.27882,69
D0740,F09,39.44123,41.69519,21
D0741,F10,38.80737,41.26753,40
D0742,F05,41.26262,40.27704,45
D0743,F03,40.32439,34.47195,29
D0744,F12,40.58954,29.51939,40
D0745,F05,41.5,40.50682,16
D0746,F04,36.5,28.27267,61
D0747,F05,40.96117,39.49221,30
D0748,F00,41.03799,40.26718,70
D0749,F03,39.51061,36.53792,40
D0750,F06,39.71056,37.61173,55
D0751,F11,40.91503,39.3922,39
D0752,F09,38.94103,42.22699,40
D0753,F10,38.30791,40.88087,31
D0754,F07,40.13757,39.43348,42
D0755,F01,38.39099,34.22145,45
D0756,F05,41.05756,40.65121,28
D0757,F12,39.32355,30.19994,38
D0758,F00,41.39651,40.69639,31
D0759,F11,41.2677,39.51563,74
D0760,F08,37.53961,33.18247,39
D0761,F03,39.76676,36.43939,63
D0762,F10,38.27031,40.767,37
D0763,F10,38.03289,40.11465,44
D0764,F00,39.17651,41.16746,20
D0765,F01,38.07429,34.26146,33
D0766,F08,36.5,31.558,43
D0767,F12,38.70693,29.65024,64
D0768,F00,39.83187,40.66591,43
D0769,F08,37.7368,32.49063,61
D0770,F01,38.67439,33.76179,50
D0771,F08,37.72132,33.58299,64
D0772,F08,37.32551,31.99168,39
D0773,F01,39.04654,33.57583,76
D0774,F08,36.73517,32.80982,33
D0775,F11,41.3696,39.70794,29
D0776,F11,41.46174,39.77676,22
D0777,F00,40.11029,40.75649,75
D0778,F03,40.23863,36.00244,52
D0779,F03,40.24162,36.19146,35
D0780,F05,41.13081,40.07361,59
D0781,F01,38.18914,34.13538,50
D0782,F11,40.60096,39.52404,69
D0783,F10,38.39292,41.42975,17
D0784,F10,38.50114,41.79209,36
D0785,F02,40.43635,30.99666,33
D0786,F00,40.38174,40.19293,10
D0787,F11,41.39056,38.92821,56
D0788,F03,40.26503,35.91735,36
D0789,F08,37.83892,32.65421,51
D0790,F11,41.5,39.57971,75
D0791,F00,39.9192,41.59843,35
D0792,F00,41.12739,39.82374,34
D0793,F00,40.13084,40.43868,42
D0794,F02,41.26318,31.33032,55
D0795,F00,40.40037,40.22789,31
D0796,F10,38.16852,42.80954,31
D0797,F07,39.61686,38.88367,56
D0798,F12,39.64213,30.32488,46
D0799,F10,37.65227,40.77072,9
D0800,F12,40.15461,29.88573,22
D0801,F03,40.6694,36.03517,63
D0802,F03,39.62823,36.42346,46
D0803,F11,41.26971,39.66155,29
D0804,F03,39.66041,36.69178,37
D0805,F00,40.08696,40.10246,40
D0806,F08,37.48909,32.45651,51
D0807,F10,38.33665,43.0,20
D0808,F12,40.50217,30.37047,27
D0809,F12,39.50233,29.64656,44
D0810,F01,39.14409,33.64336,39
D0811,F10,38.39783,40.6772,49
D0812,F10,38.71209,41.89871,22
D0813,F09,38.55071,42.29432,45
D0814,F10,38.33169,41.37273,56
D0815,F10,38.30202,41.24866,47
D0816,F05,41.00188,40.71757,42
D0817,F00,40.66772,39.61381,39
D0818,F05,41.5,39.54298,27
D0819,F02,41.06009,30.78161,39
D0820,F01,39.38602,34.48525,59
D0821,F01,39.3466,34.31078,38
D0822,F09,38.5832,42.00503,27
D0823,F06,40.47357,37.547,33
D0824,F07,40.1497,38.64589,43
D0825,F09,38.76244,42.19217,34
D0826,F07,40.16043,38.51583,47
D0827,F08,37.8696,33.51817,48
D0828,F01,38.85805,34.50635,53
D0829,F11,41.03571,39.84739,61
D0830,F05,41.5,41.05279,55
D0831,F02,39.81621,32.46404,26
D0832,F10,37.44764,40.17894,26
D0833,F09,39.11006,42.05123,39
D0834,F00,40.39699,39.76368,33
D0835,F02,40.90569,30.08279,23
D0836,F00,39.7729,39.46376,33
D0837,F03,39.97638,35.67859,33
D0838,F01,39.59597,33.30384,30
D0839,F09,39.12282,42.74895,35
D0840,F06,40.38207,37.14023,58
D0841,F12,39.52176,30.42689,43
D0842,F09,38.57437,42.86119,77
D0843,F07,39.47218,39.52135,43
D0844,F06,40.42164,36.86391,36
D0845,F00,40.75025,41.54293,40
D0846,F00,39.66075,40.31657,44
D0847,F08,36.84293,31.4618,47
D0848,F00,39.84892,39.51265,71
D0849,F00,39.93537,39.03286,27
D0850,F02,40.81706,30.64709,53
D0851,F11,40.19584,39.37497,43
D0852,F05,41.5,39.93762,16
D0853,F09,39.09116,43.0,52
D0854,F05,41.26511,40.59894,59
D0855,F02,39.67667,31.10778,27
D0856,F04,36.5225,27.41588,40
D0857,F01,39.2492,33.44519,14
D0858,F10,37.10389,41.31386,21
D0859,F02,40.6366,30.74827,56
D0860,F04,36.5,27.0,33
D0861,F12,40.08139,29.99702,23
D0862,F07,40.12652,39.13855,43
D0863,F05,41.5,40.10225,32
D0864,F07,40.68478,38.6007,33
D0865,F10,39.18029,40.93924,51
D0866,F03,39.89552,35.7584,23
D0867,F08,37.30979,32.73144,26
D0868,F11,40.46555,39.84725,42
D0869,F07,40.96601,39.83196,55
D0870,F05,41.03588,40.05077,59
D0871,F01,38.44205,33.79813,30
D0872,F03,39.97683,36.15784,54
D0873,F12,39.01603,30.51127,28
D0874,F07,40.53327,38.84717,67
D0875,F03,40.4222,36.38712,23
D0876,F05,41.5,40.87883,60
D0877,F07,39.71532,39.969,30
D0878,F06,40.24999,38.26254,70
D0879,F09,39.08584,41.968,49
D0880,F03,39.14175,35.88239,25
D0881,F08,36.65693,32.67975,32
D0882,F05,41.5,40.17835,52
D0883,F12,39.84087,29.6922,56
D0884,F02,40.97838,29.6702,39
